date,method,mom_5d,mom_10d,mom_20d,realized_vol_20d,ma_ratio_50_200,rsi_14d,relative_volume,sentiment_mean,sentiment_std,sentiment_max,headline_count
2019-09-30,xgb_sentiment,0.059003077343006076,0.09053280859920843,0.13925352851420164,0.1151913432039365,0.10360689415730993,0.07893625988207469,0.09705239039204452,0.06912573086757712,0.07891233464362846,0.08679096265298342,0.08159466974402925
2019-10-31,xgb,0.08610979124769566,0.13315703733085868,0.1986019241011044,0.1715757555017735,0.1565486507787682,0.11462989566400135,0.13937694537579823,,,,
2019-10-31,xgb_sentiment,0.0627317376499123,0.09418410080289467,0.13113220469109999,0.11721225788715996,0.1047993042543464,0.08104434968240101,0.0966107332090727,0.07577968870536334,0.0700576135530297,0.08829402484610774,0.07815398471861222
2019-11-29,xgb,0.0839981821527926,0.12964274210418092,0.18420330673803129,0.1895917510260705,0.14891440724453203,0.11895467734595076,0.1446949333884419,,,,
2019-11-29,xgb_sentiment,0.057665401801296,0.08960100411511233,0.1261353802934151,0.12580516209300283,0.10138325609308405,0.08039435265882322,0.09327543752919899,0.06891343405502157,0.07531767862886682,0.09559658236972818,0.08591231036245092
2019-12-31,xgb,0.08210637310770436,0.13138487792171696,0.18530994526285546,0.1862271251675379,0.14970949415079382,0.12107051624759671,0.14419166814179477,,,,
2019-12-31,xgb_sentiment,0.056168501369128994,0.08800849710146778,0.12162857831179426,0.12289510207005912,0.10269111079807024,0.08201188912096338,0.09640564504134203,0.07986117455937213,0.07501642745124262,0.09267612172859675,0.08263695244796271
2020-01-31,xgb,0.08152162427215859,0.13141552258445638,0.1841093611023099,0.18531832060123749,0.1495892817746284,0.12241698319972898,0.14562890646548027,,,,
2020-01-31,xgb_sentiment,0.05581647276818184,0.08942416520034652,0.1245147213899212,0.12368890660756036,0.1015834529439664,0.08403217555267758,0.09994687235104713,0.07444675292806253,0.06365207112341759,0.0928480910310537,0.09004631810376514
2020-02-28,xgb,0.08178335141506769,0.1363106245309418,0.18133698794739064,0.1894224142430515,0.1517837448644256,0.11273388559290488,0.14662899140621782,,,,
2020-02-28,xgb_sentiment,0.05307076049201598,0.08463141573821728,0.11958674366925533,0.1349208663877682,0.09801049524871581,0.07607628071562421,0.10261272481870883,0.07453471791022438,0.07359852368279036,0.0895310797288879,0.0934263916077917
